symbol,name,industry,score,scoreValue,scoreQuality,scoreGrowth,scoreSafety,scoreBonus,dataCoverage,price,peRatio,pbRatio,roe,netMargin,revenueGrowth,netIncomeGrowth,debtEquity,dividendYield,dollarVolume,analystRating,priceTarget,upsidePct,lastTradeDate
POUL,Cairo Poultry Company S.A.E.,Poultry Slaughtering and Processing,61.1,78.9,64.0,25.9,61.8,2.5,4/4,37.33,8.08,2.16352,34.88,13.73,0.556,-15.453,0.037,0.88,10242232,n/a,,,2026-08-20
TYCN,Tycoon Holding Company For Financial Investments,"Security and Commodity Brokers, Dealers, Exchanges, and Services",61.0,5.6,94.6,99.2,40.9,0,4/4,14.9,72.57,54.62278,52.2,70.43,192.091,308.048,0.063,,16196285,n/a,,,2026-08-20
EHDR,Egyptians for Housing & Development Co.,Real Estate,60.3,38.1,51.5,51.3,93.2,6.7,4/4,2.96,29.72,2.81655,10.97,27.79,14.463,13.628,0.001,3.18,27024921,n/a,,,2026-08-20
HRHO,EFG Holding Company S.A.E,"Security and Commodity Brokers, Dealers, Exchanges, and Services",59.8,83.9,34.5,55.4,25.4,6.6,4/4,26.3,9.7,0.81698,14.37,13.75,25.579,5.58,1.266,1.05,49420435,Strong Buy,39.49,50.15,2026-08-20
JUFO,Juhayna Food Industries S.A.E.,Dairy Products,59.5,58.5,58.0,60.2,41.6,3.2,4/4,26.71,17.6,4.49425,31.01,6.66,24.076,23.255,0.971,0.71,15064974,Buy,29.32,9.77,2026-08-20
AMIA,Arab Moltaqa Investments Company,"Investors, not elsewhere classified",59.5,48.4,59.1,58.2,66.9,2.6,4/4,16,18.41,4.31512,31.02,16.21,-29.141,49.654,0.085,0.88,61140528,n/a,,,2026-08-20
EFIH,e-finance for Digital and Financial Investments S.A.E.,Computer Processing and Data Preparation and Processing Services,59.0,21.4,77.9,72.0,50.5,3.6,4/4,24.5,35.33,8.25703,36.22,30.7,25.378,47.454,0.021,1.19,62088586,n/a,,,2026-08-20
MPRC,Egyptian Media Production City,Motion Picture and Video Tape Production,59.0,58.5,70.0,62.4,7.6,3.8,4/4,42.88,9.69,1.99321,22.68,65.71,13.198,39.565,,1.2,30947396,n/a,,,2026-08-20
DTPP,Delta Co. For Printing & Packaging S.A.E,Commercial Printing,59.0,44.5,63.9,50.2,51.2,6.2,4/4,296.22,24.01,6.74141,37.19,8.7,4.044,17.643,0.961,3.03,21014735,n/a,,,2026-08-20
RREI,Arab Real Estate Investment Co.,Real Estate,58.4,46.2,49.4,96.9,36.6,0,4/4,4.45,20.57,2.66567,14.77,30.58,145.011,,,,29449606,n/a,,,2026-08-20
EGCH,Egyptian Chemical Industries,Agricultural Chemicals,58.3,66.2,57.3,70.8,23.6,0,4/4,13.8,8.6,1.83477,27.59,39.11,36.453,,0.849,,95919922,n/a,,,2026-08-20
